,itin_carrier,itin_taxi,itin_ga,itin_military,itin_total,lcl_civil,lcl_military,lcl_total,total
2010-01-01,3916,2319,52823,623,59681,50930,183,51113,110794
2011-01-01,4776,2235,53115,847,60973,51693,404,52097,113070
2012-01-01,4312,1444,47541,847,54144,51008,294,51302,105446
2013-01-01,4028,1437,50455,585,56505,54605,372,54977,111482
2014-01-01,4663,1357,48701,594,55315,57643,502,58145,113460
2015-01-01,4142,1364,52017,685,58208,54325,255,54580,112788
2016-01-01,3891,1403,50386,542,56222,50328,419,50747,106969
2017-01-01,3684,1191,48647,342,53864,54223,263,54486,108350
2018-01-01,2917,1091,53908,379,58295,56589,317,56906,115201
2019-01-01,14043,1285,57146,428,72902,60329,437,60766,133668
2020-01-01,6826,1735,49337,649,58547,64104,733,64837,123384
2021-01-01,5240,1458,54470,459,61627,75646,596,76242,137869
2022-01-01,1955,319,10176,65,12515,14881,83,14964,27479
